City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,piacabucu,-10.4056,-36.4344,23.2,63,93,3.65,BR,1659944724
84,priyutnoye,46.1011,43.5072,32.87,18,0,6.55,RU,1659944725
85,sovetskiy,61.3614,63.5842,31,32,9,1.64,RU,1659944726
86,rosario,-32.9468,-60.6393,7.95,88,100,5.14,AR,1659944493
87,saint-pie,45.5001,-72.8991,18.4,92,100,2.57,CA,1659944728
88,saskylakh,71.9167,114.0833,16.63,50,100,3.34,RU,1659944729
89,almetyevsk,54.9044,52.3154,26.86,52,100,1.85,RU,1659944730
90,port hardy,50.6996,-127.4199,15.1,82,0,2.06,CA,1659944732
91,port alfred,-33.5906,26.891,14.54,99,97,1.34,ZA,1659944733
92,arraial do cabo,-22.9661,-42.0278,21.07,90,100,1.96,BR,1659944734
93,nador,35.174,-2.9287,27.14,69,20,2.06,MA,1659944735
94,mar del plata,-38.0023,-57.5575,9.49,80,100,1.34,AR,1659944736
95,leh,34.1667,77.5833,22.93,35,87,2.93,IN,1659944737
96,hudson bay,52.85,-102.3842,14.13,84,1,2.4,CA,1659944738
97,vaini,-21.2,-175.2,24.09,94,20,3.09,TO,1659944740
98,ponta pora,-22.5361,-55.7256,16.29,97,100,1.9,BR,1659944746
99,erie,42.7667,-78.6664,25.56,84,73,0.89,US,1659944632
100,coihaique,-45.5752,-72.0662,1.34,93,40,0.51,CL,1659944522
101,sabha,27.0377,14.4283,32.91,21,0,5.88,LY,1659944749
102,east london,-33.0153,27.9116,15.52,94,75,5.14,ZA,1659944749
103,charyshskoye,51.3978,83.5598,25.95,40,81,2.07,RU,1659944751
104,loa janan,-0.583,117.095,29.73,62,83,2.61,ID,1659944752
105,najran,17.4924,44.1277,34.36,26,55,3.94,SA,1659944753
106,nemuro,43.3236,145.575,19.35,99,100,8.2,JP,1659944754
107,port blair,11.6667,92.75,27.74,82,100,10.42,IN,1659944755
108,hammerfest,70.6634,23.6821,10.25,87,75,5.14,NO,1659944756
109,two hills,53.7169,-111.7518,17.27,94,100,3.09,CA,1659944757
110,bubaque,11.2833,-15.8333,26.54,81,100,3.16,GW,1659944758
111,puerto del rosario,28.5004,-13.8627,21.86,83,40,10.29,ES,1659944759
112,muisne,0.6,-80.0333,23.12,89,100,3.13,EC,1659944761
113,college,64.8569,-147.8028,11.99,81,75,1.54,US,1659944762
114,phan thiet,10.9333,108.1,27.12,72,100,7.68,VN,1659944694
115,biak,-0.9131,122.8766,25.75,84,100,2.67,ID,1659944765
116,turukhansk,65.8167,87.9833,19.71,65,100,1.66,RU,1659944766
117,tombouctou,20,-3,36.13,13,34,6.17,ML,1659944768
118,torbay,47.6666,-52.7314,20.88,91,40,6.69,CA,1659944769
119,lahat,-3.8,103.5333,32.49,47,36,2.25,ID,1659944769
120,corat,40.5725,49.7064,27.05,55,70,7.79,AZ,1659944770
121,iskandar,41.5539,69.7008,34.31,17,34,5.39,UZ,1659944772
122,carnarvon,-24.8667,113.6333,19.78,64,0,6.65,AU,1659944773
123,payo,-3.7508,103.6372,32.64,45,31,2.11,ID,1659944774
124,roald,62.5833,6.1333,18.42,82,75,4.63,NO,1659944775
125,cabo san lucas,22.8909,-109.9124,29.17,77,100,1.45,MX,1659944516
